qseqid	sseqid	pident	qcovs	qlen	slen	length	nident	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
III	5	85.645	1	68256	208209	822	704	106	11	29810	30625	2383	1568	0.0	854
III	12	73.220	2	68256	61733	1475	1080	345	40	18799	20252	57861	56416	3.80e-137	490
IIa	12	72.539	9	58237	61733	3627	2631	856	114	11009	14565	36160	32604	0.0	1051
IIa	12	73.220	9	58237	61733	1475	1080	345	40	38986	40439	57861	56416	3.24e-137	490
IIa	11	78.435	1	58237	78607	575	451	124	0	57541	58115	75743	75169	9.48e-103	375
IIb	5	100.000	5	26207	208209	1325	1325	0	0	23427	24751	200621	201945	0.0	2447
IIb	12	73.220	6	26207	61733	1475	1080	345	40	20139	21592	57861	56416	1.46e-137	490
IIc	20	100.000	4	27029	7990	1041	1041	0	0	17166	18206	7990	6950	0.0	1923
IIc	33	99.879	3	27029	824	824	823	1	0	16342	17165	824	1	0.0	1517
IIc	11	80.783	1	27029	78607	281	227	53	1	26744	27024	75743	75464	7.84e-56	219
IId	3	86.772	1	17615	285756	189	164	18	7	11080	11265	77718	77534	1.43e-51	204
IIe	12	73.220	5	26707	61733	1475	1080	345	40	4552	6005	56416	57861	1.49e-137	490
IVa	11	78.783	2	26090	78607	575	453	122	0	25110	25684	75743	75169	1.96e-106	387
IVb	11	78.435	3	21777	78607	575	451	124	0	21107	21681	75743	75169	3.54e-103	375
IVc	5	100.000	13	31263	208209	2862	2862	0	0	27348	30209	203482	200621	0.0	5286
IVc	5	100.000	13	31263	208209	1325	1325	0	0	26023	27347	200620	201944	0.0	2447
IVc	11	93.655	9	31263	78607	2301	2155	136	8	4211	6509	78029	75737	0.0	3432
IVc	11	78.299	9	31263	78607	576	451	123	2	30455	31029	75743	75169	2.37e-101	370
IVc	3	82.414	4	31263	285756	1160	956	188	14	2858	4009	77532	78683	0.0	998
IVg	11	78.189	2	23157	78607	541	423	118	0	22617	23157	75743	75203	2.95e-94	346
IVi	11	78.261	2	23124	78607	575	450	125	0	4	578	75169	75743	1.75e-101	370
IVj	11	78.435	2	23328	78607	575	451	124	0	3	577	75169	75743	3.79e-103	375
IVk	11	91.150	0	51121	78607	113	103	10	0	26155	26267	75631	75743	4.24e-36	154
IVl	11	78.435	2	36033	78607	575	451	124	0	1	575	75169	75743	5.86e-103	375
IVm	11	78.435	2	30461	78607	575	451	124	0	8	582	75169	75743	4.95e-103	375
IVn	11	77.565	2	28019	78607	575	446	129	0	1	575	75169	75743	9.93e-95	348
IX	6	79.247	4	44355	149280	1966	1558	388	15	33840	35795	9329	11284	0.0	1352
IX	11	79.826	1	44355	78607	575	459	116	0	101	675	75169	75743	3.29e-116	420
IX	19	91.333	0	44355	11965	150	137	13	0	19015	19164	2765	2616	1.00e-51	206
VI	11	78.543	2	23293	78607	494	388	106	0	22795	23288	75743	75250	3.87e-88	326
VIII	12	73.189	4	33371	61733	1477	1081	342	43	11897	13350	56416	57861	8.64e-136	484
Vc	5	84.058	2	47212	208209	897	754	125	14	31247	32131	1493	2383	0.0	848
X	6	79.389	4	51483	149280	1965	1560	387	13	47242	49197	9329	11284	0.0	1369
XI	3	77.772	7	29419	285756	2065	1606	440	19	27302	29356	103860	101805	0.0	1253
XII	3	84.635	1	49939	285756	384	325	51	7	9658	10040	77538	77162	8.12e-103	375
XIII	5	99.969	11	32817	208209	3240	3239	0	1	17749	20987	200621	203860	0.0	5976
XIII	5	100.000	11	32817	208209	241	241	0	0	20990	21230	201944	201704	4.01e-124	446
XIV	5	100.000	5	81466	208209	1330	1330	0	0	58346	59675	200617	201946	0.0	2457
XIV	5	99.775	5	81466	208209	1335	1332	3	0	65984	67318	201944	200610	0.0	2449
XIV	5	100.000	5	81466	208209	1324	1324	0	0	23419	24742	200621	201944	0.0	2446
XIV	12	72.539	6	81466	61733	3627	2631	856	114	71588	75144	32604	36160	0.0	1051
XIV	12	73.220	6	81466	61733	1475	1080	345	40	61494	62947	56416	57861	4.54e-137	490
XV	12	73.220	4	35251	61733	1475	1080	345	40	12415	13868	56416	57861	1.96e-137	490
XV	11	78.435	2	35251	78607	575	451	124	0	1	575	75169	75743	5.73e-103	375
