qseqid	sseqid	pident	qcovs	qlen	slen	length	nident	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
III	4	73.220	2	68256	167249	1475	1080	345	40	18799	20252	9924	8479	3.82e-137	490
IIa	17	72.521	6	58237	45014	3621	2626	855	112	10997	14547	8489	12039	0.0	1046
IIa	4	73.220	2	58237	167249	1475	1080	345	40	38986	40439	9924	8479	3.26e-137	490
IIb	4	73.220	6	26207	167249	1475	1080	345	40	20139	21592	9924	8479	1.47e-137	490
IIc	28	100.000	4	27029	7990	1041	1041	0	0	17166	18206	7990	6950	0.0	1923
IIc	37	99.879	3	27029	824	824	823	1	0	16342	17165	1	824	0.0	1517
IIe	4	73.220	5	26707	167249	1475	1080	345	40	4552	6005	8479	9924	1.49e-137	490
IVc	2	100.000	5	31263	253758	1531	1531	0	0	27348	28878	96041	97571	0.0	2828
IVc	1	85.153	1	31263	464611	229	195	34	0	3630	3858	53337	53109	9.04e-61	235
IX	4	99.620	11	44355	167249	5006	4987	18	1	665	5670	162245	167249	0.0	9138
IX	7	79.310	4	44355	131960	1972	1564	394	10	33843	35807	123691	121727	0.0	1369
IX	1	92.763	0	44355	464611	152	141	11	0	19015	19166	223453	223604	3.59e-56	220
IX	1	93.966	0	44355	464611	116	109	7	0	19015	19130	53001	53116	7.89e-43	176
VIII	4	73.189	4	33371	167249	1477	1081	342	43	11897	13350	8479	9924	8.68e-136	484
X	7	79.300	4	51483	131960	1971	1563	396	8	47245	49209	123691	121727	0.0	1369
XI	3	77.676	7	29419	192505	2065	1604	442	19	27302	29356	176101	178156	0.0	1242
XIII	2	99.948	6	32817	253758	1910	1909	0	1	19080	20988	97571	95662	0.0	3520
XIV	17	72.521	4	81466	45014	3621	2626	855	112	71606	75156	12039	8489	0.0	1046
XIV	4	73.220	2	81466	167249	1475	1080	345	40	61494	62947	8479	9924	4.56e-137	490
XV	4	73.220	4	35251	167249	1475	1080	345	40	12415	13868	8479	9924	1.97e-137	490
