qseqid	sseqid	pident	qcovs	qlen	slen	length	nident	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
III	15	96.082	30	68256	73239	10287	9884	390	13	57976	68256	27924	17645	0.0	16752
III	15	99.395	30	68256	73239	4132	4107	25	0	24230	28361	33601	29470	0.0	7492
III	15	85.205	30	68256	73239	4934	4204	669	38	59330	64248	43178	38291	0.0	5011
III	15	98.577	30	68256	73239	1827	1801	24	2	27952	29777	29839	28014	0.0	3229
III	15	99.621	30	68256	73239	791	788	3	0	34225	35015	28804	28014	0.0	1445
III	15	98.994	30	68256	73239	795	787	8	0	36061	36855	28809	28015	0.0	1424
III	15	99.114	30	68256	73239	790	783	7	0	43790	44579	28804	28015	0.0	1421
III	15	94.424	30	68256	73239	807	762	40	5	28983	29786	33598	34402	0.0	1236
III	15	96.735	30	68256	73239	735	711	24	0	36062	36796	33598	34332	0.0	1225
III	15	96.854	30	68256	73239	731	708	23	0	34225	34955	33602	34332	0.0	1223
III	15	96.854	30	68256	73239	731	708	23	0	43790	44520	33602	34332	0.0	1223
III	15	90.586	30	68256	73239	648	587	44	6	46206	46850	45402	44769	0.0	843
III	15	75.479	30	68256	73239	1305	985	288	23	8835	10124	26595	27882	1.11e-172	608
III	15	90.270	30	68256	73239	370	334	36	0	27952	28321	29799	29430	1.96e-135	484
III	15	90.000	30	68256	73239	370	333	37	0	27992	28361	29879	29510	9.10e-134	479
III	15	90.909	30	68256	73239	330	300	28	2	27953	28281	29758	29430	1.19e-122	442
III	15	89.790	30	68256	73239	333	299	28	5	28032	28361	29879	29550	1.56e-116	422
III	15	91.126	30	68256	73239	293	267	22	3	27951	28241	29720	29430	3.39e-108	394
III	15	88.742	30	68256	73239	302	268	30	4	47516	47815	44825	44526	7.39e-100	366
III	15	88.581	30	68256	73239	289	256	33	0	28073	28361	29878	29590	2.07e-95	351
III	32	85.558	1	68256	7343	824	705	103	14	29810	30625	4114	3299	0.0	848
III	21	73.220	2	68256	37605	1475	1080	345	40	18799	20252	33732	32287	4.20e-137	490
IIa	15	99.462	13	58237	73239	4093	4071	20	2	44579	48670	33601	29510	0.0	7435
IIa	15	98.319	13	58237	73239	1785	1755	30	0	48301	50085	29799	28015	0.0	3131
IIa	15	99.136	13	58237	73239	810	803	4	3	54642	55449	28804	27996	0.0	1454
IIa	15	97.007	13	58237	73239	735	713	22	0	49292	50026	33598	34332	0.0	1236
IIa	15	96.990	13	58237	73239	731	709	22	0	54642	55372	33602	34332	0.0	1229
IIa	15	84.781	13	58237	73239	1117	947	147	21	29087	30194	43410	44512	0.0	1099
IIa	15	90.541	13	58237	73239	370	335	35	0	48301	48670	29839	29470	3.59e-137	490
IIa	15	93.030	13	58237	73239	330	307	21	2	48302	48630	29758	29430	2.16e-134	481
IIa	15	90.361	13	58237	73239	332	300	28	3	48341	48670	29879	29550	6.13e-120	433
IIa	15	90.034	13	58237	73239	291	262	29	0	48300	48590	29720	29430	2.91e-103	377
