qseqid	sseqid	pident	qcovs	qlen	slen	length	nident	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
ccrC1	5	91.790	99	1623	131229	1620	1487	119	13	1	1613	41792	40180	0.0	2242
ccrC1	5	96.422	100	1677	131229	1677	1617	60	0	1	1677	58395	56719	0.0	2765
ccrC1	5	95.107	100	1677	131229	1676	1594	79	3	1	1675	41792	40119	0.0	2638
ccrC1	5	99.940	100	1677	131229	1677	1676	1	0	1	1677	58395	56719	0.0	3092
ccrC1	5	92.661	100	1677	131229	1676	1553	120	3	1	1675	41792	40119	0.0	2410
IS431_1	5	98.736	100	791	131229	791	781	10	0	1	791	49669	48879	0.0	1406
IS431_1	5	98.632	100	791	131229	731	721	10	0	1	731	54467	55197	0.0	1295
IS431_1	15	97.811	92	791	51418	731	715	16	0	1	731	41864	41134	0.0	1262
IS431_1	5	99.704	100	675	131229	675	673	2	0	1	675	55197	54523	0.0	1236
IS431_1	5	97.037	100	675	131229	675	655	20	0	1	675	48939	49613	0.0	1136
IS431_1	15	99.259	100	675	51418	675	670	5	0	1	675	41134	41808	0.0	1219
IS431_1	5	99.747	100	790	131229	790	788	2	0	1	790	54467	55256	0.0	1448
IS431_1	5	96.990	100	790	131229	731	709	22	0	1	731	49669	48939	0.0	1229
IS431_1	15	99.241	100	790	51418	790	784	6	0	1	790	41864	41075	0.0	1426
IS431_1	5	98.608	100	790	131229	790	779	11	0	1	790	55256	54467	0.0	1399
IS431_1	5	94.318	100	790	131229	792	747	42	3	1	790	48879	49669	0.0	1210
IS431_1	15	98.101	100	790	51418	790	775	15	0	1	790	41075	41864	0.0	1376
IS431_2	5	99.367	100	789	131229	790	785	4	1	1	789	55256	54467	0.0	1430
IS431_2	5	96.717	100	789	131229	731	707	24	0	59	789	48939	49669	0.0	1218
IS431_2	15	98.861	100	789	51418	790	781	8	1	1	789	41075	41864	0.0	1408
IS431_2	15	99.259	100	675	51418	675	670	5	0	1	675	41134	41808	0.0	1219
IS431_2	5	99.111	100	675	131229	675	669	6	0	1	675	55197	54523	0.0	1214
IS431_2	5	97.037	100	675	131229	675	655	20	0	1	675	48939	49613	0.0	1136
IS431_2	5	99.747	100	790	131229	790	788	2	0	1	790	54467	55256	0.0	1448
IS431_2	5	96.990	100	790	131229	731	709	22	0	1	731	49669	48939	0.0	1229
IS431_2	15	99.241	100	790	51418	790	784	6	0	1	790	41864	41075	0.0	1426
IS431_2	15	99.114	100	790	51418	790	783	7	0	1	790	41864	41075	0.0	1421
IS431_2	5	99.114	100	790	131229	790	783	7	0	1	790	54467	55256	0.0	1421
IS431_2	5	97.401	100	790	131229	731	712	19	0	1	731	49669	48939	0.0	1245
IS431	5	99.747	99	792	131229	791	789	2	0	1	791	54466	55256	0.0	1450
IS431	5	96.995	99	792	131229	732	710	22	0	1	732	49670	48939	0.0	1230
IS431	15	99.241	99	792	51418	791	785	6	0	2	792	41864	41074	0.0	1428
IS431	5	99.747	99	792	131229	791	789	2	0	1	791	54466	55256	0.0	1450
IS431	5	96.995	99	792	131229	732	710	22	0	1	732	49670	48939	0.0	1230
IS431	15	99.241	99	792	51418	791	785	6	0	2	792	41864	41074	0.0	1428
IS431	5	99.747	100	791	131229	791	789	2	0	1	791	54466	55256	0.0	1450
IS431	5	96.995	100	791	131229	732	710	22	0	1	732	49670	48939	0.0	1230
IS431	15	99.241	99	791	51418	790	784	6	0	2	791	41864	41075	0.0	1426
IS431	5	99.747	99	792	131229	791	789	2	0	1	791	54466	55256	0.0	1450
IS431	5	96.995	99	792	131229	732	710	22	0	1	732	49670	48939	0.0	1230
IS431	15	99.241	99	792	51418	791	785	6	0	2	792	41864	41074	0.0	1428
IS431	5	99.747	99	792	131229	791	789	2	0	1	791	54466	55256	0.0	1450
IS431	5	96.995	99	792	131229	732	710	22	0	1	732	49670	48939	0.0	1230
IS431	15	99.241	99	792	51418	790	784	6	0	2	791	41864	41075	0.0	1426
IS431	5	99.747	99	792	131229	791	789	2	0	2	792	55256	54466	0.0	1450
IS431	5	96.995	99	792	131229	732	710	22	0	61	792	48939	49670	0.0	1230
IS431	15	99.241	99	792	51418	791	785	6	0	1	791	41074	41864	0.0	1428
IS431	5	99.556	100	675	131229	675	672	3	0	1	675	54523	55197	0.0	1230
IS431	5	96.889	100	675	131229	675	654	21	0	1	675	49613	48939	0.0	1131
IS431	15	99.111	100	675	51418	675	669	6	0	1	675	41808	41134	0.0	1214
IS431	5	100.000	100	675	131229	675	675	0	0	1	675	55197	54523	0.0	1247
IS431	5	97.333	100	675	131229	675	657	18	0	1	675	48939	49613	0.0	1147
IS431	15	98.963	100	675	51418	675	668	7	0	1	675	41134	41808	0.0	1208
IS431	5	99.747	100	790	131229	790	788	2	0	1	790	55256	54467	0.0	1448
IS431	5	96.990	100	790	131229	731	709	22	0	60	790	48939	49669	0.0	1229
IS431	15	99.241	100	790	51418	790	784	6	0	1	790	41075	41864	0.0	1426
mecA	5	99.900	100	2007	131229	2007	2005	2	0	1	2007	49861	51867	0.0	3696
mecA	5	99.900	100	2007	131229	2007	2005	2	0	1	2007	49861	51867	0.0	3696
mecA	5	99.851	100	2007	131229	2007	2004	3	0	1	2007	49861	51867	0.0	3690
mecA	5	99.950	100	2007	131229	2007	2006	1	0	1	2007	49861	51867	0.0	3701
mecA	5	100.000	100	2007	131229	2007	2007	0	0	1	2007	49861	51867	0.0	3707
mecA	5	99.900	100	2007	131229	2007	2005	2	0	1	2007	49861	51867	0.0	3696
mecA	5	99.900	100	2007	131229	2007	2005	2	0	1	2007	49861	51867	0.0	3696
mecA	5	99.950	100	2007	131229	2007	2006	1	0	1	2007	49861	51867	0.0	3701
mecA	5	99.950	100	2010	131229	2010	2009	1	0	1	2010	49858	51867	0.0	3707
mecA	5	99.851	100	2010	131229	2010	2007	3	0	1	2010	49858	51867	0.0	3696
mecA	5	99.950	100	2007	131229	2007	2006	1	0	1	2007	49861	51867	0.0	3701
mecA	5	99.950	100	2010	131229	2010	2009	1	0	1	2010	49858	51867	0.0	3707
mecA	5	99.900	100	2007	131229	2007	2005	2	0	1	2007	49861	51867	0.0	3696
mecA	5	99.900	100	2010	131229	2010	2008	2	0	1	2010	49858	51867	0.0	3701
mecR1	5	100.000	81	114	131229	92	92	0	0	1	92	49761	49670	8.23e-44	171
mecR1	5	100.000	100	111	131229	111	111	0	0	1	111	49761	49651	2.18e-54	206
mecR1	5	100.000	100	92	131229	92	92	0	0	1	92	49761	49670	6.32e-44	171
mecR1	5	100.000	100	129	131229	129	129	0	0	1	129	49745	49873	2.57e-64	239
mecR1	5	100.000	100	111	131229	111	111	0	0	1	111	49761	49651	2.18e-54	206
