qseqid	sseqid	pident	qcovs	qlen	slen	length	nident	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
III	20	85.576	1	68256	5595	825	706	107	11	29807	30625	3210	4028	0.0	854
III	17	73.220	2	68256	40878	1475	1080	345	40	18799	20252	37006	35561	3.83e-137	490
IIa	20	99.775	4	58237	5595	2219	2214	5	0	52025	54243	2219	1	0.0	4071
IIa	17	72.517	9	58237	40878	3624	2628	862	110	11009	14565	15305	11749	0.0	1051
IIa	17	73.220	9	58237	40878	1475	1080	345	40	38986	40439	37006	35561	3.27e-137	490
IIb	17	73.220	6	26207	40878	1475	1080	345	40	20139	21592	37006	35561	1.47e-137	490
IId	30	87.302	1	17615	1226	189	165	17	7	11080	11265	1039	1223	3.09e-53	209
IIe	17	73.220	5	26707	40878	1475	1080	345	40	4552	6005	35561	37006	1.50e-137	490
IVc	30	82.419	4	31263	1226	1166	961	189	14	2858	4015	1225	68	0.0	1003
IVn	20	99.820	8	28019	5595	2220	2216	3	1	3873	6092	1	2219	0.0	4076
IX	15	85.535	0	44355	41728	159	136	23	0	26090	26248	1695	1853	4.76e-40	167
IX	15	88.000	0	44355	41728	50	44	6	0	20099	20148	1744	1695	8.31e-08	60.2
VIII	17	73.189	4	33371	40878	1477	1081	342	43	11897	13350	35561	37006	8.70e-136	484
Va	15	83.636	1	28612	41728	220	184	35	1	8793	9011	1695	1914	6.51e-52	206
Vb	15	83.636	1	42083	41728	220	184	35	1	16570	16788	1695	1914	9.57e-52	206
Vc	20	85.455	2	47212	5595	825	705	108	11	31316	32134	4028	3210	0.0	848
Vc	15	83.636	0	47212	41728	220	184	35	1	16630	16848	1695	1914	1.07e-51	206
X	13	78.742	4	51483	95140	1971	1552	407	8	47245	49209	8360	6396	0.0	1308
XI	4	77.561	7	29419	208366	2050	1590	441	19	27317	29356	25091	23051	0.0	1219
XII	14	85.027	1	49939	77407	374	318	50	5	9668	10040	77407	77039	8.18e-103	375
XII	15	85.535	1	49939	41728	159	136	23	0	35374	35532	1853	1695	5.36e-40	167
XII	15	85.535	1	49939	41728	159	136	23	0	44106	44264	1695	1853	5.36e-40	167
XIV	17	72.517	6	81466	40878	3624	2628	862	110	71588	75144	11749	15305	0.0	1051
XIV	17	73.220	6	81466	40878	1475	1080	345	40	61494	62947	35561	37006	4.57e-137	490
XIV	15	86.792	0	81466	41728	159	138	21	0	25851	26009	1695	1853	4.04e-43	178
XV	17	73.220	4	35251	40878	1475	1080	345	40	12415	13868	35561	37006	1.98e-137	490
