qseqid	sseqid	pident	qcovs	qlen	slen	length	nident	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
ccrC1	10	96.840	100	1677	106922	1677	1624	53	0	1	1677	93381	95057	0.0	2804
ccrC1	10	98.211	100	1677	106922	1677	1647	30	0	1	1677	93381	95057	0.0	2931
IS431_1	10	96.334	100	791	106922	791	762	28	1	1	791	79780	78991	0.0	1299
IS431_1	10	95.704	100	675	106922	675	646	28	1	1	675	79051	79724	0.0	1085
IS431_1	10	93.813	100	790	106922	792	743	45	4	1	790	79780	78991	0.0	1188
IS431_1	10	93.687	100	790	106922	792	742	46	4	1	790	78991	79780	0.0	1182
IS431_2	10	93.561	100	789	106922	792	741	46	5	1	789	78991	79780	0.0	1175
IS431_2	10	95.407	100	675	106922	675	644	30	1	1	675	79051	79724	0.0	1074
IS431_2	10	93.813	100	790	106922	792	743	45	4	1	790	79780	78991	0.0	1188
IS431_2	10	93.434	100	790	106922	792	740	48	4	1	790	79780	78991	0.0	1171
IS431	10	93.829	100	792	106922	794	745	45	4	1	792	79781	78990	0.0	1192
IS431	10	93.829	100	792	106922	794	745	45	4	1	792	79781	78990	0.0	1192
IS431	10	93.821	100	791	106922	793	744	45	4	1	791	79781	78991	0.0	1190
IS431	10	93.829	100	792	106922	794	745	45	4	1	792	79781	78990	0.0	1192
IS431	10	93.821	99	792	106922	793	744	45	4	1	791	79781	78991	0.0	1190
IS431	10	93.829	100	792	106922	794	745	45	4	1	792	78990	79781	0.0	1192
IS431	10	95.556	100	675	106922	675	645	29	1	1	675	79724	79051	0.0	1079
IS431	10	95.704	100	675	106922	675	646	28	1	1	675	79051	79724	0.0	1085
IS431	10	93.813	100	790	106922	792	743	45	4	1	790	78991	79780	0.0	1188
mecA	10	99.900	100	2007	106922	2007	2005	2	0	1	2007	84306	82300	0.0	3696
mecA	10	99.900	100	2007	106922	2007	2005	2	0	1	2007	84306	82300	0.0	3696
mecA	10	99.851	100	2007	106922	2007	2004	3	0	1	2007	84306	82300	0.0	3690
mecA	10	99.950	100	2007	106922	2007	2006	1	0	1	2007	84306	82300	0.0	3701
mecA	10	99.900	100	2007	106922	2007	2005	2	0	1	2007	84306	82300	0.0	3696
mecA	10	99.900	100	2007	106922	2007	2005	2	0	1	2007	84306	82300	0.0	3696
mecA	10	99.900	100	2007	106922	2007	2005	2	0	1	2007	84306	82300	0.0	3696
mecA	10	99.950	100	2007	106922	2007	2006	1	0	1	2007	84306	82300	0.0	3701
mecA	10	99.950	100	2010	106922	2010	2009	1	0	1	2010	84309	82300	0.0	3707
mecA	10	99.851	100	2010	106922	2010	2007	3	0	1	2010	84309	82300	0.0	3696
mecA	10	99.851	100	2007	106922	2007	2004	3	0	1	2007	84306	82300	0.0	3690
mecA	10	99.950	100	2010	106922	2010	2009	1	0	1	2010	84309	82300	0.0	3707
mecA	10	99.900	100	2007	106922	2007	2005	2	0	1	2007	84306	82300	0.0	3696
mecA	10	99.900	100	2010	106922	2010	2008	2	0	1	2010	84309	82300	0.0	3701
mecI	10	100.000	100	372	106922	372	372	0	0	1	372	86163	86534	0.0	688
mecI	10	100.000	99	204	106922	201	201	0	0	1	201	86163	86363	4.29e-104	372
mecI	10	100.000	100	372	106922	372	372	0	0	1	372	86163	86534	0.0	688
mecI	10	100.000	100	372	106922	372	372	0	0	1	372	86163	86534	0.0	688
mecI	10	100.000	100	372	106922	372	372	0	0	1	372	86163	86534	0.0	688
mecI	10	100.000	100	372	106922	372	372	0	0	1	372	86163	86534	0.0	688
mecR1	10	100.000	99	987	106922	975	975	0	0	1	975	84406	85380	0.0	1801
mecR1	10	100.000	100	1758	106922	1758	1758	0	0	1	1758	84406	86163	0.0	3247
mecR1	10	100.000	85	114	106922	97	97	0	0	1	97	84406	84502	1.44e-46	180
mecR1	10	100.000	99	987	106922	975	975	0	0	1	975	84406	85380	0.0	1801
mecR1	10	100.000	83	111	106922	92	92	0	0	1	92	84406	84497	8.40e-44	171
mecR1	10	100.000	99	969	106922	957	957	0	0	1	957	84424	85380	0.0	1768
mecR1	10	100.000	97	999	106922	968	968	0	0	1	968	84406	85373	0.0	1788
mecR1	10	100.000	100	1758	106922	1758	1758	0	0	1	1758	84406	86163	0.0	3247
mecR1	10	100.000	100	92	106922	92	92	0	0	1	92	84406	84497	6.67e-44	171
mecR1	10	100.000	100	129	106922	129	129	0	0	1	129	84422	84294	2.72e-64	239
mecR1	10	100.000	83	111	106922	92	92	0	0	1	92	84406	84497	8.40e-44	171
mecR1	10	100.000	100	1758	106922	1758	1758	0	0	1	1758	84406	86163	0.0	3247
mecR1	10	100.000	100	1758	106922	1758	1758	0	0	1	1758	84406	86163	0.0	3247
mecR1	10	99.886	100	1758	106922	1758	1756	2	0	1	1758	84406	86163	0.0	3236
